序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,弹性,信用,折现率,双低,老式双低,老式排名,新式双低,新式排名,MA20乖离,热门度,转债名称
264,赣锋转债!!,128028,2018/1/19,赣锋锂业,2460,有色金属,小金属,138,0.10%,-1.87%,50.6,-1.77%,8.1,0.60%,109.3,41.98,8.13,120.53,14.50%,转股中,3.29年,1.29年,1.40%,1.70%,9.2,654,-6.94%,-7.41%,-17.00%,-17.10%,96.04,95.43,1,AA,4.40%,152.50 ,155.5,232,59.4,219,-5.10%,13,赣锋转债!!
43,歌尔转2,128112,2020/7/13,歌尔股份,2241,电子,电子产品,180.7,-0.77%,-0.53%,42.46,-1.37%,411,5.80%,114.5,23.27,8.52,182.47,-1.00%,3月14天,5.77年,3.77年,2.90%,5.30%,40,1378,-7.70%,-8.09%,-12.80%,-12.90%,87.52,90.37,0.95,AA+,4.31%,179.70 ,178.9,265,88.6,264,3.50%,15,歌尔转2
284,光大转债,113011,2017/7/18,光大银行,601818,金融,银行行业,121.63,-0.71%,0.43%,3.77,-0.53%,76,0.20%,108.3,3.76,0.62,100.27,21.30%,转股中,2.53年,无权,15.20%,15.20%,300,1979,-4.56%,-5.14%,无权,无权,无权,98.91,0.54,AAA,3.79%,142.93 ,143,194,44.1,136,-2.80%,15,光大转债
216,光华转债!,128051,2019/1/9,光华科技,2741,电子,元器件制,121.1,1.77%,1.25%,14.21,3.95%,41,13.60%,115.5,12.72,4.43,111.71,8.40%,转股中,4.27年,2.27年,4.70%,5.30%,2.5,53,-1.13%,-1.76%,-6.17%,-6.45%,89.45,89.24,0.76,AA-,6.50%,129.50 ,130.5,80,41,107,2.70%,22,光华转债!
242,广电转债!!,110044,2018/7/24,广电网络,600831,传媒娱乐,影视娱乐,292.04,-3.46%,2.36%,8.42,-1.41%,1676,804%,112.3,6.9,1.63,122.03,139%,转股中,3.81年,1.81年,1.20%,1.40%,0.7,60,-22.50%,-22.90%,-29.50%,-29.60%,94.69,96.01,0.78,AA,4.40%,431.04 ,462.1,289,366,289,-1.10%,11,广电转债!!
288,广汽转债!!,113009,2016/2/4,广汽集团,601238,汽车,乘用车,107.67,-0.56%,0.54%,10.12,-1.17%,7.4,0.30%,107.5,14.26,1.29,70.97,51.70%,转股中,1.38年,回售中,2.50%,1.70%,25,1036,-0.12%,-1.13%,回售中,回售中,100.25,102.26,0.02,AAA,3.79%,159.37 ,144.4,204,42.1,117,-4.00%,14,广汽转债!!
204,贵广转债!,110052,2019/3/29,贵广网络,600996,传媒娱乐,影视娱乐,112.38,-0.29%,0.05%,7.51,-0.53%,3.2,0.20%,118.5,7.94,1.71,94.58,18.80%,转股中,4.50年,2.50年,19.30%,18.30%,15,79,1.21%,0.48%,-2.96%,-3.23%,93.46,99.4,0.46,AA+,4.20%,131.18 ,130.2,76,30.8,19,-3.60%,18,贵广转债!
22,国城转债,127019,2020/8/10,国城矿业,688,有色金属,锌铅镍锡,112.921,-0.73%,-0.27%,22.85,-1.47%,16,1.60%,115.1,21.07,11.87,108.45,4.10%,4月18天,5.86年,3.86年,3.30%,3.50%,8.5,260,0.33%,-0.13%,-2.13%,-2.30%,87.07,89.58,0.68,AA,4.51%,117.02 ,117.4,3,27.8,14,0.20%,13,国城转债
9,国光转债,128123,2020/8/19,国光股份,2749,化工,农化,119.7,0.76%,-0.70%,13.7,0.07%,18,4.80%,116.2,13.7,5.05,100,19.70%,4月29天,5.89年,3.89年,5.40%,5.40%,3.2,59,-0.51%,-0.99%,-3.41%,-3.59%,80.71,80.61,0.73,AA-,6.61%,139.40 ,139.4,164,58.7,215,-4.00%,3,国光转债
279,国君转债!,113013,2017/7/24,国泰君安,601211,金融,证券行业,123.75,-0.44%,-0.31%,18.78,-1.37%,19,0.20%,108.3,19.01,1.38,98.79,25.30%,转股中,2.84年,无权,4.20%,4.10%,70,1673,-4.66%,-5.17%,无权,无权,无权,97.81,0.55,AAA,3.79%,149.05 ,148.7,217,50.9,176,-2.10%,14,国君转债!
290,国贸转债!,110033,2016/1/19,厦门国贸,600755,交通运输,交通运输,114,-0.13%,-0.14%,7.13,-0.70%,3,0.20%,109.7,7.19,0.93,99.17,15.00%,转股中,1.33年,回售中,9.20%,9.10%,12,132,-2.87%,-4.17%,回售中,回售中,100.28,104.54,0.39,AAA,3.79%,129.00 ,128.8,65,24.3,9,0.00%,17,国贸转债!
10,国投转债,110073,2020/8/20,国投资本,600061,金融,证券行业,119.13,-0.86%,-0.04%,15.07,-1.44%,293,3.10%,110.5,15.25,1.57,98.82,20.60%,4月29天,5.88年,无权,12.60%,12.40%,80,637,-1.28%,-1.61%,无权,无权,无权,88.22,0.62,AAA,4.01%,139.73 ,139.4,166,51.2,179,0.90%,18,国投转债
271,国祯转债!,123002,2017/12/25,国祯环保,300388,城市公用,三废处理,128.41,1.91%,1.03%,10.92,3.51%,9.8,2.10%,109.8,8.48,2.11,128.77,-0.30%,转股中,3.22年,1.22年,4.90%,6.40%,3.7,74,-4.84%,-5.36%,-13.90%,-14.20%,96.82,96.21,0.84,AA,4.40%,128.11 ,128,59,31.2,22,0.50%,11,国祯转债!
