序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
179,中信转债!,113021,2019/3/19,中信银行,601998,金融,银行行业,106.06,0.06%,-0.39%,5.22,-1.51%,68,0.20%,118.8,6.98,0.56,74.79,41.80%,转股中,4.63年,无权,15.70%,11.70%,400,2554,2.56%,1.82%,无权,无权,无权,101.79,5.39,107.17,-1.00%,23%,16%,17%,0.22,AAA,3.50%,147.86 ,137.3,35.5,-4.10%,55,中信转债!
140,智能转债!,128070,2019/7/23,智能自控,002877,机械装备,通用设备,104.08,-0.40%,0.40%,7.73,0.00%,8.4,3.50%,117.6,9.51,3.64,81.28,28.00%,转股中,4.95年,无权,8.90%,7.30%,2.3,26,2.55%,1.90%,无权,无权,无权,83.97,19.22,103.19,0.90%,66%,21%,18%,0.49,A+,7.20%,132.08 ,126.9,42.9,1.50%,35,智能转债!
119,浦发转债!,110059,2019/11/15,浦发银行,600000,金融,银行行业,103.49,0.18%,-0.02%,11.27,0.63%,315,0.60%,117.8,15.05,0.65,74.88,38.20%,转股中,5.28年,无权,15.10%,11.30%,500,3308,2.55%,1.93%,无权,无权,无权,97.36,7.28,104.64,-1.10%,21%,17%,17%,0.27,AAA,3.78%,141.69 ,132.1,34.7,1.20%,79,浦发转债!
122,迪贝转债!,113546,2019/11/21,迪贝电气,603320,家电,零部件制,106.56,0.24%,0.84%,13.12,1.71%,6.3,2.60%,121.1,14.1,1.98,93.05,14.50%,转股中,5.26年,3.26年,13.50%,12.50%,2.3,17,2.52%,1.81%,-0.59%,-0.84%,81.84,83.63,28.58,112.21,-5.00%,53%,14%,18%,0.63,A+,7.48%,121.06 ,120.1,36.4,1.30%,44,迪贝转债!
97,森特转债,113557,2020/1/10,森特股份,603098,建筑,建筑工程,105.92,0.18%,-0.18%,9.36,0.00%,2.9,0.50%,120.7,10.26,2.2,91.23,16.10%,转股中,5.42年,3.42年,13.40%,12.20%,6,45,2.49%,1.81%,-0.51%,-0.72%,85.26,89.59,21.16,110.75,-4.40%,40%,12%,17%,0.54,AA-,5.78%,122.02 ,120.6,31,0.30%,35,森特转债
134,翔鹭转债!,128072,2019/9/16,翔鹭钨业,002842,有色金属,小金属,102.3,0.07%,0.45%,10.73,1.71%,8.4,2.70%,115.5,15.31,3.25,70.08,46.00%,转股中,5年32天,3年32天,10.30%,7.20%,3,29,2.47%,1.90%,0.46%,0.23%,86.68,87.33,9.59,96.93,5.50%,61%,29%,18%,0.3,AA-,5.78%,148.30 ,134.5,47.2,6.50%,28,翔鹭转债!
266,辉丰转债!!,128012,2016/5/17,*ST辉丰,002496,化工,农化,99.999,0.00%,0.00%,2.82,0.00%,0,0.00%,104.3,4.38,1.58,64.38,55.30%,转股中,1.76年,回售中,19.90%,12.80%,8.4,43,2.44%,1.96%,回售中,回售中,103,91.19,11.81,103,-2.90%,46%,<2%,17%,0,A,8.01%,155.30 ,135.6,32.6,-2.00%,55,辉丰转债!!
224,新凤转债!,113508,2018/5/16,新凤鸣,603225,服装纺织,纺织行业,102.8,-0.17%,0.03%,10.56,-1.12%,7.1,0.30%,112.3,15.78,1.31,66.92,53.60%,转股中,3.77年,1.77年,14.50%,9.70%,21,148,2.42%,1.80%,0.00%,-0.28%,94.46,95.42,2.69,98.11,4.80%,46%,29%,16%,0.13,AA,4.50%,156.40 ,138.7,43.3,-1.00%,28,新凤转债!
202,长久转债!,113519,2018/11/30,长久物流,603569,交通运输,物流业,108.57,0.11%,0.03%,9.5,0.42%,0.7,0.10%,120.1,11.15,2.21,85.2,27.40%,转股中,4.30年,2.30年,13.10%,11.20%,7,53,2.42%,1.59%,-1.90%,-2.18%,93.05,99.78,9.94,109.72,-1.10%,43%,17%,17%,0.34,AA,4.50%,135.97 ,131.9,32.2,1.30%,17,长久转债!
1,天创转债,113589,2020/7/16,天创时尚,603608,服装纺织,鞋服行业,100.34,-1.73%,1.77%,9.65,0.10%,182,30.00%,115.3,12.64,1.93,76.34,31.40%,5月17天,5.93年,3.93年,14.50%,11.00%,6,42,2.41%,1.94%,0.84%,0.65%,85.87,87.86,12.14,100,0.30%,52%,21%,17%,0.38,AA,4.78%,131.74 ,124.3,36.5,-13.50%,2,天创转债
190,奇精转债!,113524,2019/1/7,奇精机械,603677,家电,零部件制,106.44,1.85%,-0.30%,11.95,4.37%,3.3,0.90%,117.9,14.28,2.29,83.68,27.20%,转股中,4.41年,2.41年,14.40%,12.00%,3.3,23,2.40%,1.66%,-1.13%,-1.38%,92.44,97.49,10.88,108.37,-1.80%,45%,16%,18%,0.35,AA,4.50%,133.64 ,129.2,31.7,9.30%,48,奇精转债!
33,凌钢转债!,110070,2020/5/13,凌钢股份,600231,钢铁,炼钢,103.18,1.16%,-1.16%,2.3,0.00%,2.6,0.60%,117.8,2.75,0.82,83.64,23.40%,3月0天,5.73年,3.73年,6.90%,5.80%,4.4,64,2.39%,1.82%,0.24%,0.03%,86.96,90.62,15.95,106.57,-3.20%,40%,13%,18%,0.43,AA,4.78%,126.58 ,122.7,32.1,-1.90%,11,凌钢转债!
