序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,纯债溢价率,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
208,奇精转债!,113524,2019/1/7,奇精机械,603677,家电,零部件制,110.09,0.21%,1.18%,12.7,3.34%,2,0.50%,117.9,14.28,2.44,88.94,23.80%,转股中,4.33年,2.33年,13.50%,12.00%,3.3,24,1.63%,0.89%,-2.51%,-2.76%,92.49,97.35,13.09%,0.42,AA,4.62%,133.89 ,131.2,33.9,0.50%,45,奇精转债!
233,德尔转债!,123011,2018/8/14,德尔股份,300473,汽车,零部件制,109.3,-3.11%,1.58%,29.96,-3.67%,72,25.80%,116.3,34.54,1.5,86.74,26.00%,转股中,3.92年,1.92年,7.40%,6.40%,2.5,34,1.62%,0.87%,-2.91%,-3.16%,91.78,94.21,16.02%,0.42,AA-,5.62%,135.30 ,131.9,37.7,6.90%,36,德尔转债!
152,翔鹭转债!,128072,2019/9/16,翔鹭钨业,002842,有色金属,小金属,106.9,0.08%,-0.08%,10.81,0.00%,3.1,0.90%,115.5,15.31,3.27,70.61,51.40%,转股中,5年4.1天,3年4.1天,10.20%,7.20%,3,30,1.59%,1.02%,-0.92%,-1.15%,87.03,87.67,21.93%,0.31,AA-,5.79%,158.30 ,143.2,55.5,-5.00%,27,翔鹭转债!
116,孚日转债!,128087,2020/1/16,孚日股份,002083,服装纺织,家纺,104.33,0.41%,0.04%,5.39,0.94%,5.2,0.80%,113.3,6.3,1.28,85.56,21.90%,转股中,5.34年,3.34年,13.30%,11.40%,6.5,49,1.59%,1.12%,-0.15%,-0.36%,88.27,88.73,17.58%,0.48,AA,4.79%,126.23 ,123.1,34.4,-2.40%,48,孚日转债!
115,森特转债,113557,2020/1/10,森特股份,603098,建筑,建筑工程,111.25,0.89%,-0.64%,9.64,0.42%,3.2,0.50%,120.7,10.11,2.27,95.35,16.70%,转股中,5.34年,3.34年,13.00%,12.40%,6,46,1.57%,0.89%,-1.92%,-2.13%,85.6,89.94,23.69%,0.59,AA-,5.79%,127.95 ,127.1,37.2,0.40%,35,森特转债
254,迪龙转债!,128033,2018/1/29,雪迪龙,002658,城市公用,三废处理,104.539,-0.06%,-1.44%,6.88,-5.88%,6.8,1.30%,109.8,8.83,2.08,77.92,34.20%,转股中,3.36年,1.36年,12.50%,9.70%,5.2,42,1.50%,0.94%,-1.26%,-1.58%,95.76,94.61,10.49%,0.26,AA,4.62%,138.74 ,131.2,35.4,4.50%,38,迪龙转债!
210,钧达转债!,128050,2018/12/27,钧达股份,002865,汽车,零部件制,115.99,-0.51%,1.12%,16.31,0.93%,14,3.70%,123.5,14.83,2.33,109.98,5.50%,转股中,4.32年,2.32年,16.20%,17.80%,3.2,20,1.50%,0.57%,-4.41%,-4.69%,90.81,98.06,18.28%,0.65,AA-,5.62%,121.49 ,122,23.9,7.40%,61,钧达转债!
242,新凤转债!,113508,2018/5/16,新凤鸣,603225,服装纺织,纺织行业,106.54,0.51%,-0.38%,11.65,0.60%,12,0.50%,112.3,15.78,1.44,73.83,44.30%,转股中,3.69年,1.69年,13.20%,9.70%,21,163,1.46%,0.84%,-1.92%,-2.20%,94.58,95.35,11.74%,0.21,AA,4.62%,150.84 ,139.3,43.9,6.70%,27,新凤转债!
227,苏农转债!,113516,2018/8/20,苏农银行,603323,金融,银行行业,108.21,0.63%,-0.23%,4.78,1.06%,8.4,0.60%,114.3,5.52,0.74,86.59,25.00%,转股中,3.96年,无权,15.00%,13.00%,13,86,1.42%,0.76%,无权,无权,无权,97.67,10.79%,0.38,AA+,4.12%,133.21 ,129.8,32.2,0.70%,37,苏农转债!
190,苏银转债!,110053,2019/4/3,江苏银行,600919,金融,银行行业,112.13,1.38%,-0.14%,6.44,3.21%,233,1.00%,119.1,7.28,0.65,88.46,26.80%,转股中,4.58年,无权,26.90%,23.80%,200,743,1.37%,0.62%,无权,无权,无权,101.7,10.26%,0.39,AAA,3.62%,138.93 ,135.8,34.1,5.10%,49,苏银转债!
